Web Search interest
Netherlands; Jan-Nov 2012



Top searches
facebook,100
youtube,65
marktplaats,55
google,55
hotmail,45
online,45
buienradar,35
ing,30
weer,30
hyves,30
telegraaf,25
you,25
twitter,20
rabobank,20
vertalen,20
iphone,20
samsung,15
nu.nl,15
routeplanner,15
radio,15
nu,15
abn,15
maps,15
uitzending gemist,15
anwb,15
nieuws,15
funda,15
gmail,15
kpn,15
translate,10
weeronline,10
ns,10
ziggo,10
ikea,10
rtl,10
wikipedia,10
spelletjes,10
telefoongids,10
webmail,10
nos,10
games,10
test,10
ad,10
apple,10
hema,10
ah,10
weersverwachting,10
tv gids,10
vodafone,10
minecraft,5



Rising searches
olympische spelen,+1,100%
wordfeud,+170%
weeronline,+100%
zalando,+100%
youtube converter,+80%
buienradar,+70%
9292ov,+60%
minecraft,+60%
whatsapp,+60%
facebook,+50%



